County_States,2015_Tract_population,adjusted_hdi,unadjusted_hdi,unadjusted_income_index,adjusted_income_index,expect_edu_index,mean_edu_index,final_edu_index,le_index,Macroregion
"Allen County, IN",363453,895.2761994466003,890.2479559625367,924.7095309081332,940.4570941331081,884.0688794574971,847.3163513488054,865.6926154031513,882.4407051282052,Midwest
"Allen County, KS",13081,876.2385785780323,870.062040704699,916.5859661542802,936.2396287782333,829.682822775662,843.4598574014123,836.5713400885372,860.9230769230768,Midwest
"Allen County, KY",20355,851.4833929641317,844.375630543682,915.3735355620423,938.6840572994953,791.0732129383672,779.2121218836891,785.1426674110281,838.974358974359,South
"Allen County, OH",105196,828.4949512353472,876.1398699886388,909.8067726991276,927.9199102629643,878.0021893030378,828.4118007575563,853.2069950302971,871.240694789082,Midwest
"Allen Parish, LA",25653,520.6780820961978,861.7415309585871,908.2408485927721,927.8945112167255,791.1089780502348,778.986737018783,785.0478575345089,874.3589743589743,South
"Allendale County, SC",9838,0.0,,849.2795961486113,868.9332587725644,832.511816677598,785.462535281836,808.987175979717,,South
"Alpena County, MI",29068,716.1364033275585,888.9205943876508,924.7037082087484,944.3573708327019,880.8884348553826,839.8273787351925,860.3579067952875,879.8290598290599,Midwest
"Alpine County, CA",1131,914.220427557521,907.813213890632,921.696531367906,941.350193991859,863.290929569999,883.769633507853,873.530281538926,929.2307692307688,West
"Amador County, CA",36995,806.1556891485471,900.7173992625142,953.1087850458152,972.7624476697677,874.4053526073073,847.700751561706,861.0530520845069,909.9999999999999,West
"Amelia County, VA",12777,437.052669561858,872.279386242614,945.3290069178115,951.338135332374,821.1791867634006,785.1838029545031,803.181494858952,880.0,South
"Amherst County, VA",32148,589.6083487038007,879.9246029172197,929.1729777469367,943.5852329936822,835.3988528834333,800.7429268540759,818.0708898687545,885.3846153846154,South
"Amite County, MS",12840,581.9030902220507,866.468437302826,890.4838851162053,910.1375477401583,860.9724549988223,754.8891216402493,807.9307883195361,901.5384615384615,South
"Anchorage Municipality, AK",299107,802.3707257174894,923.5650733915808,998.4998572027969,984.9289039524363,856.2335679974677,890.1995935734683,873.2165807854681,896.4166666666666,West
"Anderson County, KS",7896,891.1964897183404,884.9548495923925,922.2748133167514,941.9284759407045,796.896041793688,838.3393055549066,817.6176736742975,919.2307692307695,Midwest
"Anderson County, KY",21761,707.9171889985718,878.8013141580718,938.22478101797,957.8784436419235,852.9650038396749,831.0373433377501,842.0011735887125,851.5384615384615,South
"Anderson County, SC",191215,608.8727537324072,874.3475988511947,918.479650131854,934.7310128167577,856.3640734757064,814.9542425194841,835.6591579975952,871.4529914529915,South
"Anderson County, TN",75430,746.198598714283,890.0971530400969,941.6746254234084,958.7694058850511,865.7040610767674,844.5714732420366,855.137767159402,872.7499999999999,South
"Anderson County, TX",57915,763.7946120240031,833.7204575237259,861.8601587235007,881.5138213474539,799.68110449948,789.8821636597255,794.7816340796027,863.7230769230773,South
"Andrew County, MO",17328,684.0823056773197,906.1557526141037,951.4818687756338,970.4489132565736,824.9602522906753,845.9828098908957,835.4715310907854,930.2564102564106,Midwest
"Andrews County, TX",16775,878.6302389288866,872.7941093995595,973.537167029743,993.1908296536952,832.3450628192222,754.7938597045768,793.5694612618995,861.1538461538462,South
"Androscoggin County, ME",107393,803.865502935864,897.4515893356702,930.9641599998048,939.9897406152631,883.4706791666088,834.8823690263647,859.1765240964869,896.615384615385,Northeast
"Angelina County, TX",87748,662.4095515685696,860.0560484467878,916.0311835602473,935.6848461842006,853.1901594740925,785.7677075970134,819.4789335355532,862.9585798816568,South
